Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111
Atacama,03,Huasco,03304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,6.0,3.0,0.0,1.0,9.0,9.0,3.0,10.0,16.0,8.0,22.0,15.0,28.0,20.0,12.0,9.0,11.0,8.0,16.0,7.0,10.0,27.0,23.0,5.0,1.0,0.0,0.0,1.0,3.0,7.0,12.0,39.0,34.0,26.0,20.0,10.0,29.0,22.0,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,9.0,2.0,0.0,1.0,10.0,15.0,11.0,5.0,14.0,22.0,23.0,40.0,49.0,49.0,34.0,18.0,22.0,5.0,5.0,2.0,7.0,19.0,25.0,12.0,6.0,1.0,2.0,5.0,6.0,7.0,1.0,5.0,10.0,2.0,6.0,18.0,19.0,38.0,42.0,45.0,38.0,24.0,32.0,45.0,5.0,0.0
Atacama,03,Vallenar,03301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,10.0,13.0,3.0,7.0,16.0,27.0,54.0,66.0,55.0,72.0,59.0,33.0,34.0,38.0,37.0,60.0,64.0,86.0,134.0,94.0,136.0,131.0,67.0,50.0,34.0,24.0,16.0,16.0,33.0,24.0,31.0,27.0,27.0,13.0,17.0,22.0,46.0,78.0,66.0,64.0,75.0,60.0,78.0,67.0,56.0,62.0,0.0
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,3.0,1.0,0.0,11.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,6.0,1.0,1.0,0.0
Atacama,03,Total,,314709.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,8.0,10.0,24.0,46.0,53.0,24.0,38.0,88.0,169.0,213.0,263.0,241.0,296.0,324.0,394.0,635.0,793.0,837.0,628.0,456.0,360.0,336.0,322.0,303.0,279.0,225.0,203.0,181.0,156.0,89.0,40.0,84.0,82.0,91.0,65.0,72.0,106.0,105.0,202.0,398.0,487.0,503.0,542.0,459.0,463.0,483.0,528.0,491.0,360.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,7.0,6.0,1.0,5.0,7.0,4.0,3.0,3.0,2.0,5.0,5.0,10.0,16.0,15.0,23.0,21.0,14.0,12.0,11.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,6.0,14.0,19.0,23.0,17.0,25.0,17.0,10.0,0.0
Coquimbo,04,Canela,04202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,5.0,0.0,4.0,3.0,2.0,11.0,19.0,11.0,8.0,5.0,4.0,10.0,8.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,6.0,8.0,17.0,22.0,7.0,22.0,20.0,9.0,7.0,7.0,3.0,0.0
Coquimbo,04,Combarbala,04302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,7.0,0.0,1.0,3.0,0.0,1.0,4.0,6.0,8.0,10.0,10.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,1.0,0.0,2.0,4.0,22.0,5.0,3.0,8.0,1.0,5.0,8.0,11.0,6.0,3.0,13.0,21.0,18.0,17.0,16.0,16.0,0.0
Coquimbo,04,Coquimbo,04102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,2.0,1.0,6.0,7.0,20.0,83.0,85.0,69.0,146.0,143.0,157.0,179.0,239.0,236.0,338.0,359.0,350.0,334.0,334.0,339.0,339.0,284.0,208.0,189.0,104.0,124.0,84.0,79.0,45.0,47.0,37.0,31.0,30.0,43.0,52.0,51.0,58.0,83.0,83.0,125.0,181.0,263.0,308.0,351.0,310.0,316.0,370.0,439.0,442.0,211.0,0.0
