Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053
Arica y Parinacota,15,Arica,15101,247552.0,0,0.0,1.0,2.0,1.0,2.0,23.0,70.0,67.0,53.0,69.0,51.0,45.0,89.0,148.0,196.0,276.0,270.0,295.0,350.0,442.0,681.0,785.0,760.0,594.0,590.0,454.0,424.0,412.0,349.0,333.0,296.0,415.0,403.0,324.0,303.0,264.0,205.0,207.0,149.0,110.0,96.0,93.0,143.0,135.0,105.0,0.0
Arica y Parinacota,15,Camarones,15102,1233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,36.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Putre,15201,2515.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,7.0,10.0,8.0,1.0,9.0,2.0,1.0,1.0,6.0,4.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0,0.0,1.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0
Arica y Parinacota,15,Total,,252110.0,0.0,0.0,1.0,2.0,1.0,2.0,23.0,70.0,67.0,53.0,69.0,51.0,45.0,89.0,148.0,196.0,277.0,279.0,295.0,350.0,450.0,703.0,797.0,767.0,623.0,636.0,463.0,429.0,419.0,357.0,337.0,303.0,421.0,409.0,326.0,304.0,265.0,208.0,208.0,151.0,112.0,101.0,93.0,147.0,135.0,105.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999.0,0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,14.0,24.0,39.0,113.0,141.0,270.0,320.0,318.0,259.0,205.0,161.0,175.0,118.0,109.0,115.0,138.0,179.0,163.0,219.0,154.0,161.0,139.0,117.0,76.0,94.0,80.0,79.0,93.0,102.0,68.0,94.0,80.0,72.0,80.0,109.0,180.0,215.0,122.0,0.0
Tarapaca,01,Camina,01402,1375.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,2.0,5.0,6.0,3.0,6.0,2.0,3.0,1.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,7.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0
Tarapaca,01,Colchane,01403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,17.0,15.0,15.0,10.0,8.0,3.0,11.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,4.0,1.0,0.0
Tarapaca,01,Huara,01404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,7.0,9.0,11.0,6.0,9.0,12.0,16.0,21.0,19.0,4.0,3.0,6.0,7.0,4.0,8.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,12.0,10.0,1.0,0.0,5.0,9.0,4.0,0.0,0.0
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,11.0,20.0,42.0,102.0,257.0,402.0,502.0,463.0,447.0,462.0,422.0,348.0,337.0,290.0,283.0,363.0,321.0,321.0,275.0,262.0,228.0,198.0,208.0,164.0,146.0,183.0,138.0,159.0,210.0,179.0,188.0,162.0,170.0,218.0,213.0,296.0,438.0,277.0,0.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,10.0,10.0,10.0,14.0,43.0,38.0,24.0,24.0,31.0,34.0,47.0,25.0,29.0,8.0,8.0,5.0,6.0,8.0,3.0,1.0,2.0,4.0,17.0,7.0,1.0,2.0,2.0,4.0,5.0,2.0,0.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,58.0,93.0,104.0,64.0,36.0,76.0,56.0,48.0,43.0,129.0,58.0,43.0,50.0,39.0,25.0,16.0,5.0,10.0,14.0,12.0,13.0,10.0,17.0,30.0,39.0,5.0,9.0,20.0,15.0,19.0,8.0,0.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,94.0,29.0,25.0,26.0,30.0,25.0,20.0,22.0,15.0,17.0,33.0,34.0,17.0,16.0,13.0,11.0,13.0,10.0,15.0,40.0,64.0,81.0,85.0,26.0,15.0,10.0,13.0,5.0,5.0,3.0,2.0,2.0,2.0,8.0,0.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,30.0,40.0,54.0,84.0,232.0,503.0,727.0,904.0,892.0,863.0,831.0,706.0,628.0,618.0,545.0,527.0,620.0,683.0,603.0,616.0,508.0,479.0,380.0,367.0,290.0,323.0,369.0,320.0,295.0,342.0,284.0,358.0,310.0,259.0,318.0,356.0,507.0,687.0,418.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,27.0,32.0,40.0,56.0,109.0,160.0,214.0,312.0,312.0,303.0,348.0,487.0,594.0,702.0,792.0,911.0,757.0,584.0,580.0,677.0,625.0,522.0,437.0,426.0,349.0,286.0,228.0,243.0,276.0,281.0,263.0,232.0,197.0,181.0,145.0,114.0,130.0,140.0,253.0,339.0,220.0,1.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,3.0,3.0,8.0,16.0,16.0,39.0,52.0,91.0,233.0,280.0,449.0,803.0,982.0,913.0,738.0,673.0,466.0,353.0,269.0,203.0,195.0,184.0,133.0,144.0,117.0,76.0,64.0,94.0,74.0,38.0,24.0,49.0,31.0,26.0,39.0,44.0,29.0,27.0,19.0,40.0,21.0,0.0
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,44.0,44.0,30.0,13.0,12.0,11.0,7.0,41.0,29.0,27.0,7.0,14.0,8.0,12.0,7.0,1.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,77.0,46.0,51.0,19.0,19.0,10.0,17.0,39.0,50.0,25.0,16.0,10.0,22.0,24.0,9.0,22.0,16.0,14.0,8.0,19.0,17.0,7.0,7.0,15.0,10.0,14.0,11.0,5.0,9.0,6.0,15.0,23.0,31.0,24.0,20.0,0.0
Antofagasta,02,Ollague,02202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,18.0,21.0,33.0,35.0,35.0,36.0,46.0,19.0,20.0,19.0,18.0,13.0,8.0,9.0,4.0,2.0,14.0,7.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
Antofagasta,02,Sierra Gorda,02103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,4.0,2.0,5.0,6.0,6.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0
Antofagasta,02,Taltal,02104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,7.0,9.0,12.0,7.0,11.0,21.0,16.0,2.0,10.0,10.0,15.0,9.0,2.0,4.0,2.0,6.0,7.0,2.0,13.0,2.0,3.0,0.0,4.0,9.0,0.0,0.0,3.0,11.0,15.0,2.0,0.0
Antofagasta,02,Tocopilla,02301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,6.0,8.0,8.0,4.0,6.0,25.0,50.0,61.0,42.0,22.0,22.0,7.0,8.0,9.0,9.0,19.0,14.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,11.0,6.0,3.0,2.0,4.0,0.0,11.0,12.0,14.0,2.0,0.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,10.0,41.0,30.0,26.0,20.0,21.0,21.0,26.0,26.0,13.0,13.0,9.0,4.0,8.0,3.0,5.0,6.0,10.0,1.0,7.0,9.0,4.0,11.0,4.0,0.0,3.0,1.0,4.0,2.0,0.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,34.0,37.0,63.0,100.0,154.0,253.0,393.0,508.0,653.0,636.0,857.0,1353.0,1675.0,1840.0,1747.0,1754.0,1355.0,1077.0,934.0,987.0,905.0,784.0,643.0,620.0,498.0,401.0,325.0,378.0,378.0,368.0,314.0,324.0,255.0,225.0,216.0,172.0,174.0,210.0,336.0,451.0,270.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,14.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Atacama,03,Caldera,03102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,14.0,7.0,6.0,19.0,20.0,24.0,57.0,31.0,43.0,23.0,3.0,14.0,13.0,3.0,3.0,6.0,3.0,4.0,8.0,1.0,0.0,5.0,0.0,1.0,10.0,29.0,18.0,0.0
Atacama,03,Chanaral,03201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,2.0,4.0,9.0,6.0,12.0,11.0,10.0,19.0,13.0,21.0,35.0,17.0,7.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Atacama,03,Copiapo,03101,171766.0,0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,12.0,28.0,27.0,14.0,26.0,57.0,114.0,118.0,146.0,153.0,173.0,196.0,301.0,510.0,654.0,633.0,390.0,259.0,148.0,123.0,154.0,91.0,61.0,85.0,71.0,91.0,91.0,31.0,12.0,20.0,14.0,24.0,25.0,28.0,40.0,13.0,0.0
Atacama,03,Diego de Almagro,03202,14358.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,7.0,3.0,9.0,4.0,2.0,10.0,6.0,1.0,5.0,1.0,11.0,44.0,20.0,40.0,7.0,13.0,15.0,27.0,27.0,34.0,25.0,20.0,11.0,2.0,5.0,5.0,0.0,3.0,1.0,6.0,0.0,0.0
Atacama,03,Freirina,03303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,10.0,23.0,6.0,4.0,7.0,20.0,24.0,15.0,10.0,6.0,7.0,8.0,22.0,10.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0
Atacama,03,Huasco,03304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,6.0,3.0,0.0,1.0,9.0,9.0,3.0,10.0,16.0,8.0,22.0,15.0,28.0,20.0,12.0,9.0,11.0,8.0,16.0,7.0,10.0,27.0,23.0,5.0,1.0,0.0,0.0,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,1.0,10.0,15.0,11.0,5.0,14.0,22.0,23.0,40.0,49.0,49.0,34.0,18.0,22.0,5.0,5.0,2.0,7.0,19.0,25.0,12.0,6.0,1.0,2.0,5.0,6.0,7.0,1.0,5.0,10.0,1.0,0.0
Atacama,03,Vallenar,03301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,10.0,13.0,3.0,7.0,16.0,27.0,54.0,66.0,55.0,72.0,59.0,33.0,34.0,39.0,37.0,62.0,64.0,86.0,134.0,95.0,135.0,131.0,67.0,49.0,34.0,24.0,16.0,17.0,33.0,24.0,31.0,27.0,27.0,13.0,14.0,0.0
